Task ID,TF1,TF2,TF3,TF4,TF5,TF6,TF7,TF8,TF9,TF10,TF11,TF12,TF13,TF14,TF15,TF16,TF17,TF18,TF19,TF20,TF21,TF22,TF23,TF24,TF25,TF26,TF27,TF28,TF29,TF30,TF31,TF32,TF33,TF34,TF35,TF36,TF37,TF38,TF39,TF40,TF41,TF42,TF43,TF44,TF45,TF46,TF47,TF48,TF49,TF50,TF51,TF52,TF53,TF54,TF55,TF56,TF57,TF58,TF59,TF60,TF61,TF62,TF63,TF64,TF65,TF66,TF67,TF68,TF69,TF70,TF71,TF72,TF73,TF74,TF75,TF76,TF77,TF78,TF79,TF80,TF81,TF82,TF83,TF84,TF85,TF86,TF87,TF88,TF89,TF90,TF91,TF92,TF93,TF94,TF95,TF96,TF97,TF98,TF99,TF100,TF101,TF102,TF103,TF104,TF105,TF106,TF107,TF108,TF109,TF110,TF111,TF112,TF113,TF114,TF115,TF116
T65,1,7193,769905777,3133,43.5562352286945%,182439893,24%,2061,0.286528569442513,169743460,0.22,1470,0.20436535520645,116690643,0.15,1331.02,288.26,1.05707752087449,2200,757.0,105.38,26.93,165,4666095.62,8361447.06,60481482,20528,43.5939393939393,98.8421318882581,886,1,12.42875017378,21.5493707613268,88,1,479,53187181,0.07,0.07,5663,492357989,0.79,0.64,976,95865425,0.14,0.12,5166,449679745,0.72,0.58,1051,0.15,224360607,0.29,6142,0.85,545545170,0.71,2190,0.36,183674914,0.34,0.64,361870256,0.66,5803.29,35964.45,4000,414926,0,158.17,146.3,656,0,12512919.19,11635532.46,57095157,0,85,440.64,357.09,1107,0,44481248.48,41809024.04,154281947,0,249.25,286.95,967,0,23370016.73,28597619.95,127277291,0,281.35,221.8,806,0,27796178.81,29027534.76,117632370,0,3.73,20.84,271,0,925769.49,4789167.82,53490521,0,1028,0.142916724593354,49969391,0.06
T66,1,7295,756583604,3344,45.8396161754626%,190686622,25%,1991,0.272926662097326,164750236,0.22,1518,0.208087731322823,117837679,0.16,1321.52,259.38,0.897465772420645,2200,757.0,105.61,25.9,165,4585355.18,8200772.45,64076906,45580,44.2121212121212,104.211662417829,936,1,12.8433173406442,22.0221798846401,88,1,473,53405153,0.06,0.07,5853,482923245,0.8,0.64,938,93604121,0.13,0.12,5388,442724277,0.74,0.59,969,0.13,220255206,0.29,6326,0.87,536328398,0.71,2157,0.34,179808117,0.34,0.66,356520281,0.66,9281.79,50916.05,4000,414926,0,165.27,157.22,691,0,12621452.28,12275516.56,59458949,0,84,418.44,336.88,1095,0,40436205.76,38195789.63,143143252,0,235.75,286.4,997,0,21813939.33,27963940.03,116307168,0,279.34,226.85,838,0,25932603.08,26529999.29,106835346,0,2.62,14.35,155,0,719306.15,4291204.24,47657313,0,422,0.0578478409869773,22214244,0.03
T67,1,7063,705089596,3133,44.3579215630751%,183000169,26%,1963,0.277927226391051,170492298,0.24,1412,0.199915050261928,115011609,0.16,1326.99,273.98,1.00931242459353,2200,757.0,105.7,28.28,170,4147585.86,7339397.06,66400071,23242,41.5470588235294,98.3900619028117,955,1,14.4178111284156,25.6923337276013,97,1,506,55682524,0.07,0.08,5621,437219563,0.8,0.62,930,92188022,0.13,0.13,5197,400714065,0.74,0.57,936,0.13,212187509,0.3,6127,0.87,492902087,0.7,2265,0.37,181311611,0.37,0.63,311590476,0.63,4366.2,23530.82,4000,414923,0,166.47,163.64,707,0,12526290.09,12798767.89,60974965,0,81,434.17,345.76,1076,0,37910165.47,32201450.11,113333617,0,249.07,291.46,972,0,22317510.6,26519996.87,92376532,0,289.56,234.26,826,0,23497440.25,20304398.93,78508208,0,2.94,16.79,210,0,781197.69,4324811.73,49913933,0,172,0.0243522582472037,6062603,0.01
T68,1,7908,413456435,2793,35.318664643399%,163269349,39%,1526,0.192969145169448,107529521,0.26,1180,0.149215983813859,74576967,0.18,1513.31,397.88,0.571136421678318,2200,785.5,74.99,53.14,140,2953260.25,6758149.99,57898376,2810,56.4857142857142,145.868447962528,1267,1,16.3710166919575,23.5954249708079,96,1,405,34094120,0.05,0.08,4564,300888946,0.58,0.73,731,56781198,0.09,0.14,4238,278201868,0.54,0.67,2939,0.37,78473369,0.19,4969,0.63,334983066,0.81,1770,0.36,117987599,0.35,0.64,216995467,0.65,3498.77,24607.19,4000,414920,-55,248.71,261.78,849,0,10681701.81,11068273.64,52976762,0,26,492.55,413.64,1344,0,24191794.06,21165475.47,80066591,0,361.55,407.74,1290,0,16533821.02,19074483.69,71378506,0,398.08,388.07,1281,0,17870114.69,15409714.27,67402793,0,166.08,334.9,1244,0,3705797.82,7536402.91,30525632,0,242,0.0306019221041982,15802900,0.04
T69,1,6001,611544190,3011,50.1749708381936%,172133281,28%,1543,0.257123812697883,128892996,0.21,1168,0.194634227628728,87134014,0.14,1348.2,285.44,1.09316304492349,2200,800.0,104.05,29.94,166,3684001.14,6947582.08,71564049,28260,36.1506024096385,89.8541995760525,918,1,15.9466755540743,27.5474346542386,96,1,455,49343557,0.08,0.08,4617,353389800,0.77,0.58,766,81007814,0.13,0.13,4306,321725543,0.72,0.53,929,0.15,208810833,0.34,5072,0.85,402733357,0.66,1763,0.35,152843560,0.38,0.65,249889797,0.62,6881.4,40702.96,4000,414919,0,155.99,169.57,687,0,12430666.49,15195040.62,54877148,0,80,375.69,310.3,1015,0,33655032.99,30111402.34,103682483,0,223.58,277.23,964,0,19548526.35,24420210.62,93340191,0,259.75,230.71,788,0,21631552.02,21040386.81,74586091,0,3.77,20.23,241,0,964557.16,4730908.44,50831711,0,293,0.0488251958006998,12125999,0.02
T70,1,5317,571349448,2415,45.4203498213278%,146357870,26%,1433,0.269512883204814,119656911,0.21,851,0.160052661275155,71771475,0.13,1364.31,314.99,0.938811436201443,2200,800.0,101.96,32.39,167,3421254.18,5888425.68,57069286,19766,31.8383233532934,70.3014436573279,688,1,14.2685725032913,25.9792867602075,96,1,457,50590296,0.09,0.09,3853,307409033,0.72,0.54,753,81328723,0.14,0.14,3557,276670606,0.67,0.48,1007,0.19,213350119,0.37,4310,0.81,357999329,0.63,1708,0.4,146912462,0.41,0.6,211086867,0.59,4351.95,26534.13,4000,414918,0,120.72,122.43,505,0,9928419.1,11512104.53,43847267,0,88,310.67,247.1,749,0,29486012.33,25659429.86,83158644,0,169.4,206.54,709,0,15792591.69,19160116.05,74730041,0,208.45,170.46,578,0,18057102.56,16740757.74,59608381,0,5.89,26.34,250,0,1316266.28,5617109.92,51636417,0,410,0.0771111529057739,20311710,0.04
T71,1,5271,572687801,2458,46.6325175488522%,146973849,26%,1450,0.275090115727565,121860605,0.21,880,0.166951242648453,72657207,0.13,1353.01,306.13,0.943103866895028,2200,785.5,102.91,29.42,167,3429268.27,5898704.24,57951512,19766,31.562874251497,70.64884696321,700,1,14.3306772908366,26.1342782366943,96,1,477,52404634,0.09,0.09,3850,305611978,0.73,0.53,785,83784738,0.15,0.15,3542,274231874,0.67,0.48,944,0.18,214671189,0.37,4327,0.82,358016612,0.63,1660,0.38,145568432,0.41,0.62,212448180,0.59,6600.85,40005.6,4000,414918,0,120.13,125.88,511,0,10006380.89,12066667.67,45536173,0,90,309.44,253.73,771,0,29072508.03,25973573.19,86442976,0,173.77,213.05,733,0,15910453.07,19847963.6,76506465,0,205.96,174.07,593,0,17919602.89,17217722.81,61394012,0,4.62,20.92,196,0,1165053.87,5485343.16,51844168,0,213,0.0404097894137734,9141755,0.02
T72,1,5162,568039853,2465,47.752808988764%,147553289,26%,1379,0.267144517628826,118590989,0.21,858,0.166214645486245,71425991,0.13,1354.32,300.58,0.918757344653012,2200,800.0,102.76,29.33,167,3401436.25,5934466.91,59308117,19766,30.9101796407185,69.8603448840394,699,1,14.6507167764432,26.5511145208546,96,1,476,51936770,0.09,0.09,3763,302831584,0.73,0.53,765,82960086,0.15,0.15,3474,271808268,0.67,0.48,923,0.18,213271499,0.38,4239,0.82,354768354,0.62,1618,0.38,142714212,0.4,0.62,212054142,0.6,7479.89,43852.82,4000,414918,0,121.09,129.45,515,0,10239683.18,12620287.41,46679694,0,89,302.11,248.17,771,0,28655690.44,26001518.84,87183800,0,171.24,212.98,729,0,15878677.3,20200425.67,77253704,0,204.63,175.87,595,0,18001914.93,17684930.58,62284274,0,3.71,17.65,184,0,1021744.83,4988583.63,51402149,0,123,0.0238279736536226,5090499,0.01
T73,1,4851,545932860,2229,45.9492888064316%,135381964,25%,1304,0.26881055452484,111135863,0.2,806,0.166151309008451,66539522,0.12,1364.46,320.39,0.963595588739612,2200,800.0,101.77,30.14,164,3328858.9,5698579.55,56430200,26020,29.5792682926829,65.2660421251054,655,1,14.6019377447948,26.8135153710521,96,1,419,47691340,0.09,0.09,3437,282547499,0.71,0.52,693,76822796,0.14,0.14,3163,253416043,0.65,0.46,995,0.21,215694021,0.4,3856,0.79,330238839,0.6,1465,0.38,133069823,0.4,0.62,197169016,0.6,5162.91,30132.96,4000,414917,0,113.39,125.78,507,0,9971595.09,12612414.24,45681384,0,92,284.97,236.86,747,0,28596860.53,26441877.47,84667256,0,166.14,206.2,704,0,16062161.62,20135188.57,75030335,0,188.48,168.96,578,0,17412127.79,17756508.69,60448871,0,4.7,21.98,235,0,1205829.07,5370300.49,53447590,0,287,0.0591630591630591,14821747,0.03
T74,1,4673,533449956,2126,45.4953991012197%,129312021,24%,1240,0.265354162208431,106724812,0.2,766,0.163920393751337,63285138,0.12,1362.35,312.38,0.907880438751366,2200,800.0,101.19,30.71,166,3213553.95,5528158.46,54909116,19295,28.1506024096385,61.0132243459518,615,1,14.3231328910763,26.5078338339151,96,1,390,44891159,0.08,0.08,3285,273682700,0.7,0.51,658,73158687,0.14,0.14,3017,245415172,0.65,0.46,998,0.21,214876097,0.4,3675,0.79,318573859,0.6,1433,0.39,130733203,0.41,0.61,187840656,0.59,11846.15,59635.2,4000,414917,0,108.7,120.19,478,0,9694321.91,12356003.42,44708183,0,93,273.93,230.3,718,0,27746152.76,25745811.35,81972097,0,156.4,198.37,679,0,15328563.24,19618224.74,73450961,0,182.67,163.71,560,0,17088521.04,17417972.37,58877458,0,6.06,23.9,205,0,1284995.49,5398855.71,52360829,0,194,0.0415150866680933,8871095,0.02
